No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
399,SHIP CONSTRUCTION,Fingal,"The Grange, Ballyboughal (Part 2)",6,*N/A,,,,,Q4-2016,
400,SHIP CONSTRUCTION,Fingal,"Racecourse Commons, Lusk (Phase 2.2) ",15,*N/A,,,,,,Q1-2018
401,SHIP CONSTRUCTION,Fingal,"Redevelopment of Community Centre, Pinewood, Balbriggan",2,*N/A,,,"Stage 3 approved Q3 2018, the scheme is now approved to proceed to tender.",,,
402,SHIP CONSTRUCTION,Fingal,"Racecourse Commons, Lusk (Phase 2.4)",4,*N/A,,,,,,Q3-2018
403,SHIP CONSTRUCTION,Fingal,"Racecourse Commons, Lusk (Phase 2.5)",25,*N/A,,,,,Q4-2016,
404,CAS CONSTRUCTION,Fingal,Killhedge Lane Dun Emer,48,Túath Housing Association Ltd,"Stage 1 approved Q1-2017, outline design and costs are being prepared.",,,,,
405,CAS CONSTRUCTION,Fingal,"Ravenswood, North Road, Finglas (Phase 1)",6,Peter McVerry Trust Ltd,,,,,Q1-2018,
406,CAS CONSTRUCTION,Fingal,"22 College Street, Baldoyle",4,Cluid Housing Association,,,"Stage 3 approved Q2-2018, the scheme is now approved to proceed to tender.",,,
407,CAS CONSTRUCTION,Fingal,"Darcystown, Ringfort, Balrothery",9,North ? East Housing Association Ltd,,,,,,Q3-2017
408,CAS CONSTRUCTION,Fingal,"Estuary Road, Malahide",8,Society of Saint Vincent de Paul,,,,,,Q2-2018
409,CAS CONSTRUCTION,Fingal,"Ravenswood, North Road, Finglas (Phase 2)",2,Peter McVerry Trust Ltd,,,,,Q3-2018,
410,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Galway City,Ballyburke,74,*N/A,,,Q1-2018,,,
411,CALF Turnkey,Galway City,"77, 80 and 81 Maoilin, Ballymoneen Road, Knocknacarra, Galway CIty (Phase 1)*",3,Túath Housing Association Ltd,,,,,,Q3-2018
412,CALF Turnkey,Galway City,"Belmont, Renmore, Galway City (Phase 1)*",16,Co-operative Housing Ireland,,,,,Q1-2018,
413,CALF Turnkey,Galway City,"Block E, Sraith Fhada, Doughiska, Galway City (Phase 1)",14,Co-operative Housing Ireland,,,,,Q4-2017,
414,CALF Turnkey,Galway City,"Boireann Beag, Ros Cam, Galway (Phase 1)",16,Cluid Housing ,,,,,,Q4-2016
415,CALF Turnkey,Galway City,"Castlegar Road, Galway (Phase 1)",81,Respond,,,,,Q2-2018,
416,CALF Turnkey,Galway City,"Cnoc na Ri, Clybaun Road, Galway  (Phase 1)*",2,Cluid Housing ,,,,,,Q3-2017
417,CALF Turnkey,Galway City,"Maigh Rua, Doughiska, Galway  (Phase 1)",23,Co-operative Housing Ireland,,,,,,Q4-2017
418,CALF Turnkey,Galway City,"Maoilin, Ballymoneen Road, Galway (Phase 1)*",2,Túath Housing Association Ltd,,,,,,Q1-2017
419,CALF Turnkey,Galway City,"Maoilin, Ballymoneen Road, Galway (Phase 2)*",4,Túath Housing Association Ltd,,,,,,Q4-2017
420,CALF Turnkey,Galway City,"Reilean, Roscam, Block 5 Galway (Phase 1)*",12,Túath Housing Association Ltd,,,,,,Q2-2017
421,CALF Turnkey,Galway City,"Reilean, Roscam,Block 4 Galway (Phase 1)*",12,Túath Housing Association Ltd,,,,,,Q2-2017
422,CALF Turnkey,Galway City,"Revised Murrough, Renmore, Galway  (Phase 1)",8,Cluid Housing ,,,,,Q1-2018,
423,CALF Turnkey,Galway City,"Revised Murrough, Renmore, Galway  (Phase 2)",8,Cluid Housing ,,,,,Q1-2018,
424,CALF Turnkey,Galway City,"Revised Murrough, Renmore, Galway  (Phase 3)*",4,Cluid Housing ,,,,,Q1-2018,
425,SHIP CONSTRUCTION TURNKEY,Galway City,"Radharc na Gr‚ine, (Glasshouse Site) Monivea Road, Galway City",52,*N/A,,,,,Q3-2018,
426,SHIP CONSTRUCTION,Galway City,Ballymoneen Road (Phase 2),78,*N/A,,"Stage 2 approved Q1-2018, full design/tender being prepared.",,,,
427,SHIP CONSTRUCTION,Galway City,Ballymoneen Road (Phase 1),14,*N/A,,,,,,Q2-2018
428,SHIP CONSTRUCTION,Galway City,"Ballinfoile Park, Headford Road (Infill Units)",9,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
429,SHIP CONSTRUCTION,Galway City,Corrib Park (Infill Units),3,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
430,SHIP CONSTRUCTION,Galway City,"Castlepark, Ballybane (Infill Units)",4,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
431,SHIP CONSTRUCTION,Galway City,"Monivea Road, Ballybaan More, Galway.",7,*N/A,"Stage 1 approved Q1-2018, outline design and costs are being prepared.",,,,,
432,SHIP CONSTRUCTION,Galway City,"Monivea Road, Ballybaan More, Galway",59,*N/A,"Stage 1 approved Q1-2018, outline design and costs are being prepared.",,,,,
433,SHIP CONSTRUCTION,Galway City,"Headford Road, Castlegar",69,*N/A,"Stage 1 approved Q3-2018, outline design and costs are being prepared.",,,,,
434,CAS CONSTRUCTION,Galway City,97/98 Rockfield,4,Carraig Dubh Housing Association,,,,,,Q1-2018
435,CAS CONSTRUCTION,Galway City,"Cul Garrai, Rahoon",6,Peter Triest Housing Association Ltd,"Stage 1 approved Q3-2015, outline design and costs are being prepared.",,,,,
436,CAS CONSTRUCTION,Galway City,47 Forster Street,9,Cope Galway,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
437,CALF Construction,Galway County,"Spiddal Cottages, Co Galway (Phase 1)",23,Cluid Housing ,,,,,,Q3-2017
438,CALF Turnkey,Galway County,"Cnoc na Si, Portumna, Co Galway (Phase 1)",10,Co-operative Housing Ireland,,,,,,Q2-2018
439,CALF Turnkey,Galway County,"Cnoc na Si, Portumna, Co Galway (Phase 2)",3,Co-operative Housing Ireland,,,,,Q1-2017,
440,SHIP CONSTRUCTION TURNKEY,Galway County,"Lorro gate, Prospect, Athenry",14,*N/A,,,,,,Q4-2017
441,SHIP CONSTRUCTION TURNKEY,Galway County,"Arvough, Kinvara",6,*N/A,,,,,,Q4-2017
442,SHIP CONSTRUCTION TURNKEY,Galway County,"Castlecourt, Abbey Street, Portumna",10,*N/A,,,,,,Q4-2017
443,SHIP CONSTRUCTION,Galway County,"Esker Fields, Ballinasloe",2,*N/A,,,,,Q2-2018,
444,SHIP CONSTRUCTION,Galway County,"Garbally Drive, Ballinasloe",10,*N/A,,,,,Q2-2018,
445,SHIP CONSTRUCTION,Galway County,"Weir Road, Tuam",30,*N/A,,,"Stage 3 approved Q3-2017, the scheme is now approved to proceed to tender.",,,
446,SHIP CONSTRUCTION,Galway County,"Culleen, Carraroe, Connemara",6,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
447,SHIP CONSTRUCTION,Galway County,Ardrahan (SRD),1,*N/A,,,,,,Q4-2017
448,SHIP CONSTRUCTION,Galway County,"Callowfinish, Carna (SRD)",1,*N/A,,,,,,Q2-2018
449,SHIP CONSTRUCTION,Galway County,"Waterdale, Claregalway (SRD)",1,*N/A,,,,,Q4-2017,
450,SHIP CONSTRUCTION,Galway County,Corndulla (SRD),1,*N/A,,,,,Q2-2018,
451,SHIP CONSTRUCTION,Galway County,Cill Ciar n (SRD),1,*N/A,,,,,,Q3-2018
452,SHIP CONSTRUCTION,Galway County,Kinvara (SRD),1,*N/A,,,,,,Q3-2018
453,SHIP CONSTRUCTION,Galway County,Roundstone,10,*N/A,"Stage 1 approved Q3-2017, outline design and costs are being prepared.",,,,,
454,SHIP CONSTRUCTION,Galway County,"Sruchain an Chlair, Oughterard",10,*N/A,"Stage 1 approved Q4-2017, outline design and costs are being prepared.",,,,,
455,SHIP CONSTRUCTION,Galway County,"St. Joseph's, Clifden",23,*N/A,"Stage 1 approved Q1-2018, outline design and costs are being prepared.",,,,,
456,SHIP CONSTRUCTION,Galway County,"Bridge Court, Ahascragh, Ballinasloe",16,*N/A,"Stage 1 approved Q1-2018, outline design and costs are being prepared.",,,,,
457,SHIP CONSTRUCTION,Galway County,"Caisle n Raithl¡n, Ardrahan",10,*N/A,"Stage 1 approved Q2-2018, outline design and costs are being prepared.",,,,,
458,SHIP CONSTRUCTION,Galway County,"Old Area Engineer's Office, Barrack Street, Loughrea",5,*N/A,"Stage 1 approved Q2-2018, outline design and costs are being prepared.",,,,,
459,SHIP CONSTRUCTION,Galway County,"Gilmartin Road, Tuam",61,*N/A,,,,,Q4-2017,
460,SHIP CONSTRUCTION,Galway County,"Cartron, Kinvarra",10,*N/A,"Stage 1 approved Q2-2018, outline design and costs are being prepared.",,,,,
461,SHIP CONSTRUCTION,Galway County,"Gort U¡ Lochlainn, Moycullen",30,*N/A,"Stage 1 approved Q3-2018, outline design and costs are being prepared.",,,,,
462,CAS CONSTRUCTION,Galway County,Letterfrack (Phase 2),11,Cluid Housing Association,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
463,CAS CONSTRUCTION,Galway County,"Rossaveal Cottages, Ros a Mh¡l, South Connemara",8,Tearmann Eanna Teoranta,"Stage 1 approved Q4-2016, outline design and costs are being prepared.",,,,,
464,CAS CONSTRUCTION,Galway County,"Cregboy, Claregalway",14,Claregalway and District Day Care Centre,,,,,Q2-2018,
465,CAS CONSTRUCTION,Galway County,"Eanach Mheain, Carraroe",13,Tearmann Eanna Teoranta,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
466,CAS CONSTRUCTION,Galway County,Mountbellew,5,Mountbellew Voluntary Homes Association,"Stage 1 approved Q3-2015, outline design and costs are being prepared.",,,,,
467,CAS CONSTRUCTION,Galway County,"Springfield, Parkmore",4,Peter Triest Housing Association Ltd,"Stage 1 approved Q2-2017, outline design and costs are being prepared.",,,,,
468,CAS CONSTRUCTION,Galway County,Letterfrack (Phase 1),13,Cluid Housing Association,,,,,,Q2-2016
469,CAS CONSTRUCTION,Galway County,"Dunlo Hill, Ballinasloe",17,Cluid Housing Association,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
470,CAS CONSTRUCTION,Galway County,"Caheroyn, Athenry",1,Peter Triest Housing Association Ltd,"Stage 1 approved Q3-2017, outline design and costs are being prepared.",,,,,
471,CAS CONSTRUCTION,Galway County,"Aggard More, Craughwell",5,Peter Triest Housing Association Ltd,"Stage 1 approved Q1-2018, outline design and costs are being prepared.",,,,,
472,CAS CONSTRUCTION,Galway County,"The Old Post Office, Inverin",4,Tearmann Eanna Teoranta,,"Stage 2 approved Q4-2017, full design/tender being prepared.",,,,
473,CALF Turnkey,Kerry,"Cathair Lakes Farrantoreen Road, Killorglin, Co Kerry (Phase 1)",5,Cluid Housing ,,,,,,Q2-2016
474,CALF Turnkey,Kerry,"Derreen, Killarney, Co Kerry  (Phase 1)",61,Cluid Housing ,,,,Q1-2018,,
475,CALF Turnkey,Kerry,"Fortfield, Tralee, Co. Kerry (Phase 1)*",15,Cluid Housing ,,,,Q3-2018,,
476,CALF Turnkey,Kerry,"Killeen, Abbeydorney Road, Tralee, Co. Kerry (Phase 1)*",17,Cluid Housing ,,,,Q3-2018,,
477,CALF Turnkey,Kerry,"The Grove, Dingle, Co. Kerry (Phase 1)*",20,Cluid Housing ,,,,Q3-2018,,
478,SHIP CONSTRUCTION TURNKEY,Kerry,"Ard Na Si, Lispole, Phase 1",2,*N/A,,,,,,Q1-2018
479,SHIP CONSTRUCTION TURNKEY,Kerry,"Cahirdown Wood, Listowel",38,*N/A,,,,"Stage 4 approved Q3-2017, the scheme is fully approved.",,
480,SHIP CONSTRUCTION TURNKEY,Kerry,"1-4 Steeple Meadow View, Milltown",4,*N/A,,,,,,Q4-2017
481,SHIP CONSTRUCTION TURNKEY,Kerry,"Ard Na Si, Lispole, Phase 2",5,*N/A,,,,,,Q3-2018
482,SHIP CONSTRUCTION TURNKEY,Kerry,"Ard Na Si, Lispole, Phase 2",3,*N/A,,,,,Q2-2017,
483,SHIP CONSTRUCTION TURNKEY,Kerry,"Woodview, Listowel",1,*N/A,,,,,,Q2-2018
484,SHIP CONSTRUCTION TURNKEY,Kerry,"Meadow Park, Milltown",9,*N/A,,,,,,Q2-2018
485,SHIP CONSTRUCTION,Kerry,"Ardmoneel, Killorglin",14,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
486,SHIP CONSTRUCTION,Kerry,Rathmore/Barraduff,20,*N/A,,"Stage 2 approved Q1-2018, full design/tender being prepared.",,,,
487,SHIP CONSTRUCTION,Kerry,"Ardbhearna, Kenmare",22,*N/A,,,,,Q4-2017,
488,SHIP CONSTRUCTION,Kerry,"Bill Kinnerk Road, Tralee",4,*N/A,,,,,,Q1-2018
489,SHIP CONSTRUCTION,Kerry,Milltown,8,*N/A,,,"Stage 3 approved Q2-2018, the scheme is now approved to proceed to tender.",,,
490,SHIP CONSTRUCTION,Kerry,"Killeen, Tralee",21,*N/A,,,,,Q2-2018,
491,SHIP CONSTRUCTION,Kerry,Lixnaw,4,*N/A,,,,,,Q4-2017
492,SHIP CONSTRUCTION,Kerry,"The Park, Killarney",20,*N/A,,,,,,Q1-2018
493,SHIP CONSTRUCTION,Kerry,"Courthouse Lawn, Listowel",7,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
494,SHIP CONSTRUCTION,Kerry,"Dreenagh, Ballyheigue (SRD)",1,*N/A,,,,,,Q1-2017
495,SHIP CONSTRUCTION,Kerry,"Marconi Avenue, Ballybunion",20,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
496,SHIP CONSTRUCTION,Kerry,"Callinafercy, Milltown",1,*N/A,,,,,Q1-2018,
497,SHIP CONSTRUCTION,Kerry,"Cahernaboshina, Ventry",1,*N/A,,,,,Q4-2017,
498,SHIP CONSTRUCTION,Kerry,"Pinewood Estate, Killarney",6,*N/A,"Stage 1 approved Q2-2018, outline design and costs are being prepared.",,,,,
499,SHIP CONSTRUCTION,Kerry,"Balloonagh, Tralee",28,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
500,SHIP CONSTRUCTION,Kerry,"Pinewood Estate, Killarney",1,*N/A,,,,,Q1-2018,
501,SHIP CONSTRUCTION,Kerry,"Drom West, Glenbeigh",1,*N/A,,"Stage 2 approved Q3-2017, full design/tender being prepared.",,,,
502,SHIP CONSTRUCTION,Kerry,"Meanus, Killorglin",1,*N/A,,,,,Q3-2018,
503,SHIP CONSTRUCTION,Kerry,"Tullig Beg, Killorglin",1,*N/A,,,,,Q3-2018,
504,SHIP CONSTRUCTION,Kerry,"Owngarry, killorglin",1,*N/A,,,"Stage 3 approved Q3-2017, the scheme is now approved to proceed to tender.",,,
505,SHIP CONSTRUCTION,Kerry,"Lohercannon, Tralee",56,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
506,SHIP CONSTRUCTION,Kerry,"BallinaKilly Lower, Glenbeigh",1,*N/A,,"Stage 2 approved Q3-2017, full design/tender being prepared.",,,,
507,SHIP CONSTRUCTION,Kerry,"Ashgrove, Listowel",1,*N/A,,,,,,Q3-2017
508,SHIP CONSTRUCTION,Kerry,"Cullenagh Upper, Beaufort",1,*N/A,,,"Stage 3 approved Q4-2017, the scheme is now approved to proceed to tender.",,,
509,SHIP CONSTRUCTION,Kerry,"Farranwilliam, Ardfert",24,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
510,SHIP CONSTRUCTION,Kerry,"Rahoonane, Tralee",8,*N/A,"Stage 1 approved Q2-2018, outline design and costs are being prepared.",,,,,
511,SHIP CONSTRUCTION,Kerry,"Ballyrickard, Tralee",20,*N/A,"Stage 1 approved Q2-2018, outline design and costs are being prepared.",,,,,
512,REGENERATION,Kerry,"Croilar Na Mistaelach, Tralee",11,*N/A,,,,,Q2-2017,
513,REGENERATION,Kerry,"Urban Terrace, Tralee",2,*N/A,,,,,,Q4-2016
514,REGENERATION,Kerry,"Clonmore Road, Tralee",3,*N/A,,,,,,Q4-2016
515,REGENERATION,Kerry,"St Martin's Park, Tralerr",4,*N/A,,,,,Q2-2017,
516,REGENERATION,Kerry,"Dingle Road, Tralee",1,*N/A,,,,,,Q2-2018
517,CAS CONSTRUCTION,Kerry,"Armagh House, Killarney",6,Cluid Housing Association,,"Stage 2 approved Q2-2017, full design/tender being prepared.",,,,
518,CAS CONSTRUCTION,Kerry,"22 College Road, Castleisland",4,Kerry Emigrant Support Housing Association Ltd,,,,,Q4-2017,
519,CAS CONSTRUCTION,Kerry,Mitchels-Boherbee,18,Cluid Housing Association,,"Stage 2 approved Q1-2018, full design/tender being prepared.",,,,
520,CAS CONSTRUCTION,Kerry,"The Parsonage, Caherciveen",5,Caherciveen Social Services (Housing) Ltd,,,,,Q4-2017,
521,CAS CONSTRUCTION,Kerry,"Hawley Park Apartemnts, St Martins Park, Mitchels Rd, Tralee",15,Kingdom Voluntary Housing Association,"Stage 1 approved Q2-2017, outline design and costs are being prepared.",,,,,
522,CAS CONSTRUCTION,Kerry,"The Presentation Convent, Rathmore",4,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
523,CALF Turnkey,Kildare,"Carton Grove, Maynooth, Co. Kildare (Phase 1)*",5,Clanmil Housing Association Ireland ,,,,,Q4-2016,
524,CALF Turnkey,Kildare,"Millfield Manor, Newbridge, Co. Kildare (Phase 1)*",19,Cluid Housing ,,,,,,Q3-2018
525,CALF Turnkey,Kildare,"Morristown, Newbridge, Co Kildare (Phase 1)",14,Cluid Housing ,,,,,,Q1-2018
526,CALF Turnkey,Kildare,"Morristown, Newbridge, Co. Kildare (Phase 1)*",4,Cluid Housing ,,,,,,Q2-2018
527,CALF Turnkey,Kildare,"Oaktree, Tully Road, Kildare Town (Phase 1)*",10,Túath Housing Association Ltd,,,,,,Q2-2018
528,CALF Turnkey,Kildare,"Oaktree, Tully Road, Kildare Town (Phase 2)*",7,Túath Housing Association Ltd,,,,,,Q3-2018
529,CALF Turnkey,Kildare,"Revised Rye Abbey, Kilcock, Co Kildare (apts)
 (Phase 1)",33,Cluid Housing ,,,,,,Q2-2017
530,CALF Turnkey,Kildare,"Robertstown, Naas , Co.Kildare (Phase 1)",5,Co-operative Housing Ireland,,,,,Q2-2018,
531,CALF Turnkey,Kildare,"Roseberry Hill, Newbridge (Phase 1)",13,Túath Housing Association Ltd,,,,,,Q2-2017
532,CALF Turnkey,Kildare,"Roseberry Hill, Newbridge (Phase 2)",16,Túath Housing Association Ltd,,,,,,Q4-2017
533,CALF Turnkey,Kildare,"Roseberry Hill, Newbridge (Phase 3)",16,Túath Housing Association Ltd,,,,,,Q1-2018
534,CALF Turnkey,Kildare,"Rye Abbey, Kilcock - revised (houses) (Phase 1)",4,Cluid Housing ,,,,,,Q2-2017
535,CALF Turnkey,Kildare,"The Vestry, Glebelands, Athy, Co. Kildare (Phase 1)",50,Respond,,,,Q3-2018,,
536,CALF Turnkey,Kildare,"White Oaks, Rickardstown, Newbridge, Kildare (Phase 1)",14,Cluid Housing ,,,,,Q1-2018,
537,CALF Turnkey,Kildare,"White Oaks, Rickardstown, Newbridge, Kildare (Phase 2)",24,Cluid Housing ,,,,,Q1-2018,
538,CALF Turnkey,Kildare,"White Oaks, Rickardstown, Newbridge, Kildare (Phase 3)*",20,Cluid Housing ,,,,,Q1-2018,
539,CALF Turnkey,Kildare,"White Oaks, Rickardstown, Newbridge, Kildare (Phase 4)*",2,Cluid Housing ,,,,,Q1-2018,
540,SHIP CONSTRUCTION TURNKEY,Kildare,"Bodkin Place, Kilmeague",16,*N/A,,,,,,Q4-2017
541,SHIP CONSTRUCTION TURNKEY,Kildare,"Drogheda Street (Cassidy's Court), Monasterevin",6,*N/A,,,,,,Q4-2017
542,SHIP CONSTRUCTION TURNKEY,Kildare,"Oaktree, Tully Road, Kildare Town",8,*N/A,,,,,,Q3-2018
543,SHIP CONSTRUCTION TURNKEY,Kildare,"Moore Abbey Court, Monasterevin",2,*N/A,,,,,,Q1-2018
544,SHIP CONSTRUCTION TURNKEY,Kildare,"The Pike, Castledermot, Co. Kildare",6,*N/A,,,,,Q2-2018,
545,SHIP CONSTRUCTION TURNKEY,Kildare,"Drogheda Street (Cassidy's Court), Monasterevin",7,*N/A,,,,,,Q1-2018
546,SHIP CONSTRUCTION TURNKEY,Kildare,"Whitethorn Park, Allenwood",2,*N/A,,,,,,Q3-2018
547,SHIP CONSTRUCTION TURNKEY,Kildare,"Moss Brook, Prosperous",2,*N/A,,,,,,Q1-2018
548,SHIP CONSTRUCTION TURNKEY,Kildare,"Hawthorn Manor, Brockagh, Coill Dubh",2,*N/A,,,,,Q1-2018,
549,SHIP CONSTRUCTION RAPID,Kildare,"Old Greenfield Road, Maynooth",47,*N/A,"Stage 1 approved Q4-2017, outline design and costs are being prepared.",,,,,
550,SHIP CONSTRUCTION,Kildare,"Hillview Terrace, Narraghmore",4,*N/A,"Stage 1 approved Q1-2017, outline design and costs are being prepared.",,,,,
551,SHIP CONSTRUCTION,Kildare,Athgarvan Village,20,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
552,SHIP CONSTRUCTION,Kildare,"Rathasker Road, Naas",48,*N/A,"Stage 1 approved Q1-2016, outline design and costs are being prepared.",,,,,
553,SHIP CONSTRUCTION,Kildare,"Dunmurry Rise, Bishopsland",32,*N/A,,,,,Q1-2018,
554,SHIP CONSTRUCTION,Kildare,"Anne Street, Prosperous",12,*N/A,,,"Stage 3 approved Q4-2017, the scheme is now approved to proceed to tender.",,,
555,SHIP CONSTRUCTION,Kildare,"Beechgrove, Rathangan",18,*N/A,,,"Stage 3 approved Q1-2018, the scheme is now approved to proceed to tender.",,,
556,SHIP CONSTRUCTION,Kildare,Kilcock (Phase 2.1),6,*N/A,,,,,,Q4-2017
557,SHIP CONSTRUCTION,Kildare,"Athgarvan Road, Newbridge",13,*N/A,,,,,,Q3-2018
558,SHIP CONSTRUCTION,Kildare,"Newtown, Leixlip",4,*N/A,"Stage 1 approved Q3-2017, outline design and costs are being prepared.",,,,,
559,SHIP CONSTRUCTION,Kildare,"Coill Dubh, Co. Kildare",10,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
560,SHIP CONSTRUCTION,Kildare,"Ardclough Road, Celbridge",36,*N/A,"Stage 1 approved Q4-2017, outline design and costs are being prepared.",,,,,
561,SHIP CONSTRUCTION,Kildare,Kilcock (Phase 2.2),13,*N/A,,,,,,Q1-2018
562,SHIP CONSTRUCTION,Kildare,"Skenagun, Castledermot",2,*N/A,"Stage 1 approved Q3-2018, outline design and costs are being prepared.",,,,,
563,CAS CONSTRUCTION,Kildare,"Craddockstown, Naas",3,KARE Promoting Inclusion for People with Intellectual Disabilities,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
564,CAS CONSTRUCTION,Kildare,"Main St., Kilcullen",4,Camphill Communities of Ireland,,"Stage 2 approved Q4-2017, full design/tender being prepared.",,,,
565,CAS CONSTRUCTION,Kildare,"El Kantara, Newbridge",2,KARE Promoting Inclusion for People with Intellectual Disabilities,"Stage 1 approved Q1-2016, outline design and costs are being prepared.",,,,,
566,CAS CONSTRUCTION,Kildare,"Mansfield Grove, Athy",4,KARE Promoting Inclusion for People with Intellectual Disabilities,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
567,CAS CONSTRUCTION,Kildare,"Jigginstown House, Naas",12,Homeless Care Ltd,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
568,PUBLIC PRIVATE PARTNERSHIP (Bundle 1),Kildare,"Craddockstown, Naas",74,*N/A,,,,Q3-2018,,
569,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Kildare,"Butterstream, Clane",77,*N/A,,,Q1-2018,,,
570,CALF Construction,Kilkenny,"Friary Walk, Callan, Co Kilkenny (Phase 1)",16,Cluid Housing ,,,,,Q1-2018,
571,CALF Construction,Kilkenny,Walkin St Kilkenny (Phase 1),27,Oaklee Housing ,,,,,Q2-2018,
572,CALF Turnkey,Kilkenny,"Golf Links Road, Kilkenny (Phase 1)*",39,Respond,,,,,Q2-2018,
573,CALF Turnkey,Kilkenny,"Logan Square, Thomastown, Co Kilkenny (Phase 1)*",16,Oaklee Housing ,,,,,,Q2-2017
574,CALF Turnkey,Kilkenny,"Margaret?s Field, Callan Road, Kilkenny City (Phase 1)",40,Respond,,,,Q3-2018,,
575,CALF Turnkey,Kilkenny,"Nuncio Road, Kilkenny (Phase 1)",11,Respond,,,,Q3-2018,,
576,CALF Turnkey,Kilkenny,"Nuncio Road, Kilkenny (Phase 2)",17,Respond,,,,Q3-2018,,
577,CALF Turnkey,Kilkenny,"Nuncio Road, Kilkenny (Phase 3)*",22,Respond,,,,Q3-2018,,
578,CALF Turnkey,Kilkenny,"Side Road, Moneenroe, Castlecomer, Co. Kilkenny (Phase 1)",9,Oaklee Housing ,,,,,,Q3-2018
579,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Togher Way, Urlingford",11,*N/A,,,,,,Q2-2017
580,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Newpark, Castlecomer Road, Kilkenny",7,*N/A,,,,,,Q1-2017
581,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Abbeygate, Ferrybank (Phase 1)",8,*N/A,,,,,,Q1-2018
582,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Togher Way, Urlingford",5,*N/A,,,,,,Q4-2017
583,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Abbeygate, Ferrybank (Phase 2)",1,*N/A,,,,,,Q3-2018
584,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Togher Way, Urlingford Phase 3",18,*N/A,,,,,Q1-2018,
585,SHIP CONSTRUCTION TURNKEY,Kilkenny,"New Road, Mooncoin",4,*N/A,,,,,Q3-2018,
586,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Chapel Street, Mooncoin",2,*N/A,,,,,Q3-2018,
587,SHIP CONSTRUCTION,Kilkenny,"Blackstaff House, Callan",4,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
588,SHIP CONSTRUCTION,Kilkenny,"Barna, Freshford",1,*N/A,,,,,,Q2-2018
589,SHIP CONSTRUCTION,Kilkenny,"10 Golf Links Road, Kilkenny",7,*N/A,,,,"Stage 4 approved Q2-2018, the scheme is fully approved.",,
590,SHIP CONSTRUCTION,Kilkenny,"Crokers Hill, Pennyswell Road, Kilkenny",80,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
591,SHIP CONSTRUCTION,Kilkenny,"Main Street, Piltown",17,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
592,SHIP CONSTRUCTION,Kilkenny,"Station Road, Ballyragget",22,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
593,SHIP CONSTRUCTION,Kilkenny,"Bolton, Callan",38,*N/A,,,,,Q2-2018,
594,SHIP CONSTRUCTION,Kilkenny,"Donaguile, Castlecomer",33,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
595,SHIP CONSTRUCTION,Kilkenny,"Rosehill, Kells Road, Kilkenny",6,*N/A,,,,,,Q1-2017
596,SHIP CONSTRUCTION,Kilkenny,"Gaol Road, Kilkenny",10,*N/A,,,,,,Q3-2016
597,SHIP CONSTRUCTION,Kilkenny,Greensbridge House,5,*N/A,,,,,Q1-2018,
