No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
,SHIP CONSTRUCTION,Galway County,Ardrahan (SRD),1,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Galway County,"Callowfinish, Carna (SRD)",1,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION,Galway County,"Waterdale, Claregalway (SRD)",1,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Galway County,Corndulla (SRD),1,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION,Galway County,Cill Ciar n (SRD),1,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,Galway County,Kinvara (SRD),1,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION,Galway County,Roundstone,10,*N/A,"Stage 1 approved in Q3-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Galway County,"Sruchain an Chlair, Oughterard",10,*N/A,"Stage 1 approved in Q4-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Galway County,"St. Joseph's, Clifden",23,*N/A,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Galway County,"Bridge Court, Ahascragh, Ballinasloe",16,*N/A,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Galway County,"Caisle n Raithl¡n, Ardrahan",10,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Galway County,"Old Area Engineer's Office, Barrack Street, Loughrea",5,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Galway County,"Gilmartin Road, Tuam",61,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Galway County,"Cartron, Kinvarra",10,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION TURNKEY,Galway County,Kinvara,6,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Galway County,Athenry,14,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Galway County,Portumna,10,*N/A,,,,,,Q4-2017
,CAS CONSTRUCTION,Galway County,Letterfrack (Phase 2),11,Cluid Housing Association,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Galway County,"Rossaveal Cottages, Ros a Mh¡l, South Connemara",8,Tearmann Eanna Teoranta,"Stage 1 approved in Q4-2016, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Galway County,"Cregboy, Claregalway",14,Claregalway and District Day Care Centre,,,,,Q2-2018,
,CAS CONSTRUCTION,Galway County,"Eanach Mheain, Carraroe",13,Tearmann Eanna Teoranta,"Stage 1 approved in Q3-2015, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Galway County,Mountbellew,5,Mountbellew Voluntary Homes Association,"Stage 1 approved in Q3-2015, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Galway County,"Springfield, Parkmore",4,Peter Triest Housing Association Ltd,"Stage 1 approved in Q2-2017, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Galway County,Letterfrack (Phase 1),13,Cluid Housing Association,,,,,,Q2-2016
,CAS CONSTRUCTION,Galway County,"Dunlo Hill, Ballinasloe",17,Cluid Housing Association,,"Stage 2 approved in Q3-2016, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Galway County,"Caheroyn, Athenry",1,Peter Triest Housing Association Ltd,"Stage 1 approved in Q3-2017, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Galway County,"Aggard More, Craughwell",5,Peter Triest Housing Association Ltd,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Galway County,"The Old Post Office, Inverin",4,Tearmann Eanna Teoranta,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,CALF Turnkey,Galway County,"Cnoc na Si, Portumna, Co Galway (Phase 1)",10,Co-operative Housing Ireland,,,,,,Q2-2018
,CALF Turnkey,Galway County,"Cnoc na Si, Portumna, Co Galway (Phase 2)",3,Co-operative Housing Ireland,,,,,Q1-2017,
,CALF Construction,Galway County,"Spiddal Cottages, Co Galway (Phase 1)",23,Cluid Housing ,,,,,,Q3-2017
,SHIP CONSTRUCTION TURNKEY,Kerry,"Ard Na Si, Lispole (Phase 1)",2,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION TURNKEY,Kerry,"Ard Na Si, Lispole (Phase 2)",8,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION TURNKEY,Kerry,"Cahirdown Wood, Listowel",38,*N/A,,,,"Stage 4 approved in Q3-2017, the scheme is fully approved.",,
,SHIP CONSTRUCTION TURNKEY,Kerry,"1-4 Steeple Meadow View, Milltown",4,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Kerry,"Woodview, Listowel",1,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION TURNKEY,Kerry,"Meadow Park, Milltown",9,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION,Kerry,"Ardmoneel, Killorglin",14,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Kerry,Rathmore/Barraduff,20,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Kerry,"Ardbhearna, Kenmare",22,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Kerry,"Bill Kinnerk Road, Tralee",4,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION,Kerry,Milltown,8,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Kerry,"Killeen, Tralee",21,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION,Kerry,Lixnaw,4,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Kerry,"The Park, Killarney",20,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION,Kerry,"Courthouse Lawn, Listowel",7,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Kerry,"Dreenagh, Ballyheigue (SRD)",1,*N/A,,,,,,Q1-2017
,SHIP CONSTRUCTION,Kerry,"Marconi Avenue, Ballybunion",20,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Kerry,"Callinafercy, Milltown",1,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Kerry,"Cahernaboshina, Ventry",1,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Kerry,"Pinewood Estate, Killarney",6,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Kerry,"Balloonagh, Tralee",28,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Kerry,"Pinewood Estate, Killarney",1,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Kerry,"Drom West, Glenbeigh",1,*N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Kerry,"Meanus, Killorglin",1,*N/A,,,,"Stage 4 approved in Q2-2018, the scheme is fully approved.",,
,SHIP CONSTRUCTION,Kerry,"Tullig Beg, Killorglin",1,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION,Kerry,"Owngarry, killorglin",1,*N/A,,,"Stage 3 approved in Q3-2017, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Kerry,"Lohercannon, Tralee",56,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Kerry,"BallinaKilly Lower, Glenbeigh",1,*N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Kerry,"Ashgrove, Listowel",1,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION,Kerry,"Cullenagh Upper, Beaufort",1,*N/A,,,"Stage 3 approved in Q4-2017, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Kerry,"Farranwilliam, Ardfert",24,*N/A,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Kerry,"Rahoonane, Tralee",8,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Kerry,"Ballyrickard, Tralee",20,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,REGENERATION,Kerry,"Croilar Na Mistaelach, Tralee",11,*N/A,,,,,Q2-2017,
,REGENERATION,Kerry,"Urban Terrace, Tralee",2,*N/A,,,,,,Q4-2016
,REGENERATION,Kerry,"Clonmore Road, Tralee",3,*N/A,,,,,,Q4-2016
,REGENERATION,Kerry,"St Martin's Park, Tralerr",4,*N/A,,,,,Q2-2017,
,REGENERATION,Kerry,"Dingle Road, Tralee",1,*N/A,,,,,,Q2-2018
,CAS CONSTRUCTION,Kerry,"Armagh House, Killarney",6,Cluid Housing Association,,,,"Stage 4 approved in Q1-2018, the scheme is fully approved.",,
,CAS CONSTRUCTION,Kerry,"22 College Road, Castleisland",4,Kerry Emigrant Support Housing Association Ltd,,,,,Q4-2017,
,CAS CONSTRUCTION,Kerry,Mitchels-Boherbee,18,Cluid Housing Association,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Kerry,"The Parsonage, Caherciveen",5,Caherciveen Social Services (Housing) Ltd,,,,,Q4-2017,
,CAS CONSTRUCTION,Kerry,"Hawley Park Apartemnts, St Martins Park, Mitchels Rd, Tralee",15,Kingdom Voluntary Housing Association,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,CAS CONSTRUCTION,Kerry,"The Presentation Convent, Rathmore",4,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is being tendered.",,,
,CALF Turnkey,Kerry,"Cathair Lakes Farrantoreen Road, Killorglin, Co Kerry (Phase 1)",5,Cluid Housing ,,,,,,Q2-2016
,CALF Turnkey,Kerry,"Derreen, Killarney, Co Kerry  (Phase 1)",61,Cluid Housing ,,,,Scheme approved for CALF funding Q1-2018,,
,SHIP CONSTRUCTION TURNKEY,Kildare,"Bodkin Place, Kilmeague",16,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Kildare,"Drogheda Street (Cassidy's Court), Monasterevin",6,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Kildare,"Oaktree, Tully Road, Kildare Town",8,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION TURNKEY,Kildare,"Moore Abbey Court, Monasterevin",2,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION TURNKEY,Kildare,"The Pike, Castledermot, Co. Kildare",6,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION TURNKEY,Kildare,"Drogheda Street (Cassidy's Court), Monasterevin",7,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION TURNKEY,Kildare,"Moss Brook, Prosperous",2,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION RAPID,Kildare,"Old Greenfield Road, Maynooth",47,*N/A,"Stage 1 approved in Q4-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Kildare,"Hillview Terrace, Narraghmore",4,*N/A,"Stage 1 approved in Q1-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Kildare,Athgarvan Village,20,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Kildare,"Rathasker Road, Naas",48,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Kildare,"Dunmurry Rise, Bishopsland",32,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Kildare,"Anne Street, Prosperous",12,*N/A,,,"Stage 3 approved in Q4-2017, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Kildare,"Beechgrove, Rathangan",18,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Kildare,Kilcock (Phase 2.1),6,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Kildare,"Athgarvan Road, Newbridge",13,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION,Kildare,"Dominican Church Site, Athy",30,*N/A,"Stage 1 approved in Q3-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Kildare,"Newtown, Leixlip",4,*N/A,"Stage 1 approved in Q3-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Kildare,"Coill Dubh, Co. Kildare",10,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Kildare,"Ardclough Road, Celbridge",36,*N/A,"Stage 1 approved in Q4-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Kildare,Kilcock (Phase 2.2),13,*N/A,,,,,,Q1-2018
,CAS CONSTRUCTION,Kildare,"Craddockstown, Naas",3,KARE Promoting Inclusion for People with Intellectual Disabilities,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Kildare,"Main St., Kilcullen",4,Camphill Communities of Ireland,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Kildare,"El Kantara, Newbridge",2,KARE Promoting Inclusion for People with Intellectual Disabilities,"Stage 1 approved in Q1-2016, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Kildare,"Mansfield Grove, Athy",4,KARE Promoting Inclusion for People with Intellectual Disabilities,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Kildare,"Jigginstown House, Naas",12,Homeless Care Ltd,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,CALF Turnkey,Kildare,"Carton Grove, Maynooth, Co. Kildare (Phase 1)*",5,Clanmil Housing Association Ireland ,,,,,Q4-2016,
,CALF Turnkey,Kildare,"Millfield Manor, Newbridge, Co. Kildare (Phase 1)*",19,Cluid Housing ,,,,,Q3-2017,
,CALF Turnkey,Kildare,"Morristown, Newbridge, Co Kildare (Phase 1)",14,Cluid Housing ,,,,,,Q1-2018
,CALF Turnkey,Kildare,"Morristown, Newbridge, Co. Kildare (Phase 1)*",4,Cluid Housing ,,,,,,Q2-2018
,CALF Turnkey,Kildare,"Oaktree, Tully Road, Kildare Town (Phase 1)*",10,Túath Housing Association Ltd,,,,,,Q2-2018
,CALF Turnkey,Kildare,"Oaktree, Tully Road, Kildare Town (Phase 2)*",7,Túath Housing Association Ltd,,,,Scheme approved for CALF funding Q1-2018,,
,CALF Turnkey,Kildare,"Revised Rye Abbey, Kilcock, Co Kildare (apts)
 (Phase 1)",33,Cluid Housing ,,,,,,Q2-2017
,CALF Turnkey,Kildare,"Robertstown, Naas , Co.Kildare (Phase 1)",5,Co-operative Housing Ireland,,,,,Q2-2018,
,CALF Turnkey,Kildare,"Roseberry Hill, Newbridge (Phase 1)",13,Túath Housing Association Ltd,,,,,,Q2-2017
,CALF Turnkey,Kildare,"Roseberry Hill, Newbridge (Phase 2)",16,Túath Housing Association Ltd,,,,,,Q4-2017
,CALF Turnkey,Kildare,"Roseberry Hill, Newbridge (Phase 3)",16,Túath Housing Association Ltd,,,,,,Q1-2018
,CALF Turnkey,Kildare,"Rye Abbey, Kilcock - revised (houses) (Phase 1)",4,Cluid Housing ,,,,,,Q2-2017
,CALF Turnkey,Kildare,"White Oaks, Rickardstown, Newbridge, Kildare (Phase 1)",14,Cluid Housing ,,,,,Q1-2018,
,CALF Turnkey,Kildare,"White Oaks, Rickardstown, Newbridge, Kildare (Phase 2)",28,Cluid Housing ,,,,,Q1-2018,
,CALF Turnkey,Kildare,"White Oaks, Rickardstown, Newbridge, Kildare (Phase 3)",18,Cluid Housing ,,,,,Q1-2018,
,PUBLIC PRIVATE PARTNERSHIP (Bundle 1),Kildare,"Craddockstown, Naas",74,*N/A,,,Q1-2018,,,
,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Kildare,"Butterstream, Clane",77,*N/A,,,Q1-2018,,,
,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Togher Way, Urlingford",11,*N/A,,,,,,Q2-2017
,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Newpark, Castlecomer Road, Kilkenny",7,*N/A,,,,,,Q1-2017
,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Abbeygate, Ferrybank (Phase 1)",8,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Togher Way, Urlingford",5,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Abbeygate, Ferrybank (Phase 2)",3,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Togher Way, Urlingford Phase 3",18,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Kilkenny,"Blackstaff House, Callan",4,*N/A,"Stage 1 approved in Q3-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Kilkenny,"Barna, Freshford",1,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION,Kilkenny,"10 Golf Links Road, Kilkenny",7,*N/A,,,,"Stage 4 approved in Q2-2018, the scheme is fully approved.",,
,SHIP CONSTRUCTION,Kilkenny,"Crokers Hill, Pennyswell Road, Kilkenny",80,*N/A,"Stage 1 approved in Q2-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Kilkenny,"Main Street, Piltown",17,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Kilkenny,"Station Road, Ballyragget",22,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Kilkenny,"Bolton, Callan",38,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION,Kilkenny,"Donaguile, Castlecomer",33,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Kilkenny,"Rosehill, Kells Road, Kilkenny",6,*N/A,,,,,,Q1-2017
,SHIP CONSTRUCTION,Kilkenny,"Gaol Road, Kilkenny",10,*N/A,,,,,,Q3-2016
,SHIP CONSTRUCTION,Kilkenny,Greensbridge House,5,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Kilkenny,"The Broguemaker, Kilkenny",15,*N/A,"Stage 1 approved in Q4-2017, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Kilkenny,"Kingsriver, Ennisnag",2,Kingsriver Housing Association Limited,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Kilkenny,Garrin Green,6,SOS Kilkenny Housing Association Ltd,,,,"Stage 4 approved in Q2-2018, the scheme is fully approved.",,
,CAS CONSTRUCTION,Kilkenny,"Hazelbrook, Newrath",2,Waterford Dove Housing Association,,,,,,Q1-2018
,CAS CONSTRUCTION,Kilkenny,Good Shepherd Centre - Wing 1952,12,The Good Shepherd Centre (Kilkenny) Ltd,,,,,Q2-2018,
,CAS CONSTRUCTION,Kilkenny,Nimble Spaces Project at Callan,15,Camphill Communities of Ireland,,,,"Stage 4 approved in Q1-2018, the scheme is fully approved.",,
,CAS CONSTRUCTION,Kilkenny,"""Brooke House"", Thomastown",5,Camphill Communities of Ireland,,,,,,Q3-2017
,CAS CONSTRUCTION,Kilkenny,"Friary Walk, Callan",12,Cluid Housing Association,,,,,,Q3-2016
,CAS CONSTRUCTION,Kilkenny,"Camphill ~Communities Garden Cottage, The Workhouse, Callan",1,Camphill Communities of Ireland,,,,,,Q4-2017
,CAS CONSTRUCTION,Kilkenny,"Kyle, Callan, Co. Kilkenny",4,Camphill Communities of Ireland,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Kilkenny,"""Red Barn"" Patrick Street, Ballyragget",16,Good Shepherd Services Ltd,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Kilkenny,"Smith's Road, Ballyraggett Oaklee",4,Oaklee Housing Trust,,,,,Q2-2018,
,CAS CONSTRUCTION,Kilkenny,Fennelly's Lane Jerpoint,5,Camphill Communities of Ireland,"Stage 1 approved in Q3-2017, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Kilkenny,"8/9 Kilkenny Street, Castlecomer",4,Good Shepherd Services Ltd,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Kilkenny,"19/21 Blackmill Street, Kilkenny",12,Good Shepherd Services Ltd,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Kilkenny,"Brother Thomas Place, Church Lane, kilkenny",12,Good Shepherd Services Ltd,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,CALF Turnkey,Kilkenny,"Callan Manor, Callan, Co. Kilkenny (Phase 1)",15,Co-operative Housing Ireland,,,,,Q2-2018,
,CALF Construction,Kilkenny,"Friary Walk, Callan, Co Kilkenny (Phase 1)",16,Cluid Housing ,,,,,Q1-2018,
,CALF Turnkey,Kilkenny,"Golf Links Road, Kilkenny (Phase 1)",39,Respond,,,,,Q2-2018,
,CALF Turnkey,Kilkenny,"Logan Square, Thomastown, Co Kilkenny (Phase 1)*",16,Oaklee Housing ,,,,,,Q2-2017
,CALF Turnkey,Kilkenny,"Side Road, Moneenroe, Castlecomer, Co. Kilkenny (Phase 1)",9,Oaklee Housing ,,,,,Q1-2017,
,CALF Construction,Kilkenny,Walkin St Kilkenny (Phase 1),27,Oaklee Housing ,,,,,Q2-2018,
,CAS CONSTRUCTION,Laois,"Abbeyleix Road, Portlaoise",16,Respond,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Laois,"Main Street, Rathdowney",6,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Laois,"Harpurs Lane, Portlaoise",1,*N/A,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Laois,"Ballymorris Road, Portarlington",22,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Laois,"Gleann na Glaise, Ballyroan",10,*N/A,"Stage 1 approved in Q3-2016, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Laois,Pattison Est. Mountmellick,10,*N/A,"Stage 1 approved in Q2-2015, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Laois,"Shannon Street, Mountrath",6,*N/A,,"Stage 2 approved in Q1-2016, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Laois,"Conniberry Way, Old Knockmay Road, Portlaoise",33,*N/A,,,,,,Q2-2018
,CALF Turnkey,Laois,"31-36 Droimnin, Stradbally, Co Laois  (Phase 1)",6,Cluid Housing ,,,,,Q4-2017,
,CALF Construction,Laois,"55 56 Kirwan Park, Mountmellick, Co Laois  (Phase 1)",2,Cluid Housing ,,,,,,Q2-2018
,CALF Turnkey,Laois,"Corrig Glen, Station Road, Portarlington, Co. Laois (Phase 1)",17,Túath Housing Association Ltd,,,,,Q1-2018,
,CALF Turnkey,Laois,"Corrig Glen, Station Road, Portarlington, Co. Laois (Phase 2)",9,Túath Housing Association Ltd,,,,,Q1-2018,
,CALF Turnkey,Laois,"Corrig Glen, Station Road, Portarlington, Co. Laois (Phase 3)",13,Túath Housing Association Ltd,,,,,Q1-2018,
,CALF Construction,Laois,"POST TENDER - Cluinin  Mountrath, Co. Laois (Phase 1)",11,Oaklee Housing ,,,,,,Q1-2018
,SHIP CONSTRUCTION,Leitrim,"Autumn View, Summerhill, Carrick on Shannon",28,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Leitrim,"Taobh Tire, Manorhamilton (Phase 2)",7,*N/A,,,,,Q2-2017,
,CAS CONSTRUCTION,Leitrim,Ballinamore,2,Society of Saint Vincent de Paul,,,,,,Q4-2017
,SHIP CONSTRUCTION RAPID,Limerick,"Deerpark, Adare",30,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION RAPID,Limerick,"Lisheen Park, Patrickswell",16,*N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION RAPID,Limerick,"Old Christians Site, Rathbane",33,*N/A,"Stage 1 approved in Q4-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION RAPID,Limerick,Mountpelier,10,*N/A,"Stage 1 approved in Q4-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION RAPID,Limerick,Knocklong,10,*N/A,"Stage 1 approved in Q4-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION RAPID,Limerick,Patrickswell (Site 2),24,*N/A,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Limerick,"Patrick?s Villas, Castleconnell",4,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Limerick,"Ballysimon, Greenhill Road ",14,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Limerick,"Gough Place, Rosbrien Road, Limerick",7,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Limerick,"1-12 Burke Avenue, Limerick City",12,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Limerick,"Chas Flats, Limerick City",3,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Limerick,Sexton Street North & Kileely Court,5,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Limerick,"Joseph Street, Limerick City",3,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Limerick,"Wallers Well, Limerick City (Phase 2)",11,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Limerick,"Clonmacken, Limerick City",38,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Limerick,"Glenview Drive, Hospital",20,*N/A,,"Stage 2 approved in Q2-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Limerick,"Clare Street, Limerick City",7,*N/A,,,,"Stage 4 approved in Q2-2018, the scheme is fully approved.",,
,SHIP CONSTRUCTION,Limerick,"Hasset Villas, Thomondgate",3,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION,Limerick,"Kilmurry Court, Garryowen",6,*N/A,,,,"Stage 4 approved in Q2-2018, the scheme is fully approved.",,
,SHIP CONSTRUCTION,Limerick,"Vance's Lands, Limerick City",37,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Limerick,"Rathbane Road, Limerick City",2,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION,Limerick,"Sycamore Avenue, Limerick City",5,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is being tendered.",,,
